,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
509,509,1985,China,Ground movement,90,520,
510,510,1985,Colombia,Ash fall,21800,5000,1000
511,511,1985,Greece,Ground movement,,,
512,512,1985,Guatemala,Ground movement,,,
513,513,1985,Indonesia,Ash fall,,,
514,514,1985,Indonesia,Ground movement,10,7,
515,515,1985,Iran (Islamic Republic of),Ground movement,1,80,
516,516,1985,Japan,Ground movement,,20,
517,517,1985,Mexico,Ground movement,9500,30204,4104
518,518,1985,Pakistan,Ground movement,5,38,2
519,519,1985,Papua New Guinea,Ground movement,,,1
520,520,1985,Peru,Ground movement,,100,
521,521,1985,Peru,Landslide,,,
522,522,1985,Philippines (the),Ground movement,2,25,
523,523,1985,Philippines (the),Landslide,300,,
524,524,1985,Soviet Union,Ground movement,29,80,
525,525,1985,Turkey,Ground movement,,14,
526,526,1985,Vanuatu,Ground movement,,,
527,527,1985,Yugoslavia,Ground movement,,16,
528,528,1986,Brazil,Ground movement,1,,5
529,529,1986,Bulgaria,Ground movement,3,60,
530,530,1986,Cameroon,Ash fall,1746,437,
531,531,1986,China,Ground movement,,,
532,532,1986,El Salvador,Ground movement,1100,20000,1500
533,533,1986,Greece,Ground movement,20,300,745
534,534,1986,Guatemala,Ground movement,,,
535,535,1986,India,Ground movement,6,30,5
536,536,1986,Iran (Islamic Republic of),Ground movement,1,4,
537,537,1986,Japan,Ash fall,,,
538,538,1986,Pakistan,Ground movement,,,
539,539,1986,Papua New Guinea,Ground movement,,,0.5
540,540,1986,Peru,Ground movement,16,80,22
541,541,1986,Soviet Union,Ground movement,3,558,730
542,542,1986,Taiwan (Province of China),Ground movement,13,46,
543,543,1986,Turkey,Ground movement,15,103,
544,544,1986,United States of America (the),Ground movement,,29,0.72
545,545,1986,Venezuela (Bolivarian Republic of),Ground movement,3,50,1
546,546,1987,Algeria,Ground movement,1,7,1
547,547,1987,Chile,Ground movement,5,112,1
548,548,1987,China,Ground movement,,84,
549,549,1987,Ecuador,Ground movement,5002,6,1500
550,550,1987,Guatemala,Ash fall,,35,
551,551,1987,Indonesia,Ash fall,,,
552,552,1987,Indonesia,Ground movement,127,101,5
553,553,1987,Indonesia,Landslide,131,50,1
554,554,1987,Iran (Islamic Republic of),Ground movement,2,50,
555,555,1987,Japan,Ground movement,2,53,
556,556,1987,Mexico,Ground movement,2,50,
557,557,1987,New Zealand,Ground movement,1,25,210
558,558,1987,Papua New Guinea,Ground movement,1,,2.625
559,559,1987,South Africa,Ground movement,9,25,
560,560,1987,Soviet Union,Landslide,52,6,
561,561,1987,United States of America (the),Ground movement,8,94,217
562,562,1988,Albania,Ground movement,,,
563,563,1988,Algeria,Ground movement,,57,
564,564,1988,Bangladesh,Ground movement,2,100,
565,565,1988,Chile,Ash fall,,,
